,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
63,"datetime(2017, 6, 24, 0, 31, 16)","datetime(2017, 6, 24, 5, 39, 10)","datetime(2017, 6, 24, 6, 9, 22)","datetime(2017, 6, 24, 13, 22, 59)","datetime(2017, 6, 24, 14, 9, 53)","datetime(2017, 6, 25, 1, 44, 17)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
64,"datetime(2017, 6, 17, 18, 57, 24)","datetime(2017, 6, 26, 17, 43, 36)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
65,"datetime(2017, 9, 6, 14, 45, 37)","datetime(2017, 9, 6, 14, 47, 12)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
66,"datetime(2017, 9, 1, 19, 12, 19)","datetime(2017, 9, 1, 20, 7, 13)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
67,"datetime(2017, 6, 19, 2, 22, 31)","datetime(2017, 6, 19, 6, 15, 15)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
68,"datetime(2017, 6, 14, 19, 30, 59)","datetime(2017, 6, 14, 20, 41, 17)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
69,"datetime(2017, 8, 13, 0, 18, 52)","datetime(2017, 8, 13, 8, 51, 21)","datetime(2017, 8, 15, 9, 23, 16)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
70,"datetime(2017, 6, 5, 11, 21, 42)","datetime(2017, 8, 12, 18, 56, 35)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
71,"datetime(2017, 6, 21, 12, 32, 16)","datetime(2017, 6, 21, 15, 43, 37)","datetime(2017, 6, 21, 17, 49, 25)","datetime(2017, 6, 21, 21, 10, 35)","datetime(2017, 6, 23, 0, 28, 13)","datetime(2017, 6, 29, 2, 50, 9)","datetime(2017, 7, 2, 12, 37, 53)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
72,"datetime(2017, 8, 13, 4, 58, 48)","datetime(2017, 8, 13, 9, 58, 30)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
73,"datetime(2017, 6, 8, 12, 17, 45)","datetime(2017, 6, 8, 13, 21, 31)","datetime(2017, 6, 9, 1, 43, 39)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
74,"datetime(2017, 8, 13, 20, 32, 25)","datetime(2017, 8, 14, 11, 55, 30)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
75,"datetime(2017, 5, 28, 2, 1, 58)","datetime(2017, 5, 28, 9, 49, 22)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
76,"datetime(2017, 8, 17, 6, 12, 38)","datetime(2017, 8, 18, 5, 20, 10)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
